"node","degree","strength","eigencent","betweenness","closeness"
"14727",62,1.14840517824505,0.383034058425053,0.000434955605095194,0.0164700756139416
"15258",56,1.24132063589748,0.445659419456593,0.00174091253467926,0.0174201653507637
"12095",34,1.15870807617831,0.260790158940615,0.000844838581325252,0.0158773149095899
"12104",33,1.12042622518622,0.247943924314063,0.000451307319572457,0.0157823860240311
" 6558",54,1.44182691162924,0.519629271887398,0.00545166160671946,0.0204826611641521
" 9637",39,1.18464535263364,0.262489891495445,0.00282448614737255,0.0174651623484965
" 3216",29,1.13909037437952,0.323647401162289,0.000127543372922651,0.0164723932744547
"13821",39,1.08743692859508,0.357869844394517,0.00175835436345501,0.0185018937687017
" 3266",36,1.16762678938229,0.32571385051436,0.000562498978017845,0.016056446393841
" 2828",41,1.12904693861935,0.307955531515954,1.85319430742313e-05,0.015127101765605
"13872",36,0.908574056024347,0.298067793097942,0.00174200264897775,0.0177526292436393
"14069",40,1.07029649544558,0.400154107126027,0.00177034562073833,0.0182794743434236
"13867",55,1.14263816951593,0.490545384478682,0.000497092120108793,0.0180158717165404
"  273",42,1.12475918144025,0.361280289085028,0.00298255272065276,0.0188297318469762
" 2784",45,0.828215665707366,0.285599321147729,0.000263807660233175,0.0165548439615375
" 7690",39,1.14269821949745,0.196392811425153,0.00173328173458987,0.0146153772471635
" 4858",29,1.17929488431069,0.370569683033838,0.000825216523952536,0.0176120787312166
" 1958",38,1.1303616624156,0.27287789477123,0.00158393607569754,0.0166425051910978
"16483",47,0.941483521811656,0.327885030648802,0.000915696010726725,0.0185344621304285
" 2807",35,1.10738441785565,0.294452905042672,8.17585723863147e-05,0.0151438567231697
"12123",32,1.10242154554839,0.204707256467714,0.00287790174799828,0.0164627518072534
"12950",30,1.09017394901893,0.197168639638826,0.00193604299410793,0.0159521716093145
"13549",49,1.2110031291779,0.359361905229645,0.00209410956738814,0.0176799469627688
"10655",36,1.33393242811792,0.339155459237569,0.00477906108455472,0.0189018470700669
"11920",45,1.15228209646746,0.267495182363653,0.000502542691601214,0.0167201858711617
" 8308",29,1.08718859631616,0.211153773865662,0.000873181553085841,0.0138720910233295
"16214",36,0.992676280442766,0.279833859133872,0.00203088293807606,0.0181420248929338
"16091",53,1.0561608854867,0.296139468520384,0.00200253996631547,0.0181624252423069
" 3243",35,1.08886439277059,0.269525074779886,0.00038699057596189,0.0154068729759131
" 6573",38,1.30072485932867,0.453688622795648,0.00985572337259562,0.0201366114128928
